datetime,count
2011-01-20 00:00:00,12.266
2011-01-20 01:00:00,5.198
2011-01-20 02:00:00,3.112
2011-01-20 03:00:00,3.102
2011-01-20 04:00:00,2.688
2011-01-20 05:00:00,5.026
2011-01-20 06:00:00,35.884
2011-01-20 07:00:00,104.924
2011-01-20 08:00:00,217.566
2011-01-20 09:00:00,119.642
2011-01-20 10:00:00,61.198
2011-01-20 11:00:00,61.138
2011-01-20 12:00:00,81.492
2011-01-20 13:00:00,71.488
2011-01-20 14:00:00,77.828
2011-01-20 15:00:00,83.212
2011-01-20 16:00:00,93.212
2011-01-20 17:00:00,183.34
2011-01-20 18:00:00,170.756
2011-01-20 19:00:00,99.438
2011-01-20 20:00:00,73.13
2011-01-20 21:00:00,46.686
2011-01-20 22:00:00,43.442
2011-01-20 23:00:00,22.244
2011-01-21 00:00:00,15.834
2011-01-21 01:00:00,5.87
2011-01-21 02:00:00,4.968
2011-01-21 03:00:00,3.026
2011-01-21 04:00:00,2.0355
2011-01-21 05:00:00,3.886
2011-01-21 06:00:00,34.238
2011-01-21 07:00:00,100.178
2011-01-21 08:00:00,190.126
2011-01-21 09:00:00,122.75
2011-01-21 10:00:00,50.406
2011-01-21 11:00:00,59.606
2011-01-21 12:00:00,68.16
2011-01-21 13:00:00,67.464
2011-01-21 14:00:00,65.626
2011-01-21 15:00:00,62.24
2011-01-21 16:00:00,77.002
2011-01-21 17:00:00,140.98
2011-01-21 18:00:00,136.646
2011-01-21 19:00:00,98.36
2011-01-21 20:00:00,64.814
2011-01-21 21:00:00,39.942
2011-01-21 22:00:00,32.614
2011-01-21 23:00:00,19.678
2011-01-22 00:00:00,29.554
2011-01-22 01:00:00,16.064
2011-01-22 02:00:00,13.498
2011-01-22 03:00:00,7.794
2011-01-22 04:00:00,3.174
2011-01-22 06:00:00,5.3
2011-01-22 07:00:00,17.83
2011-01-22 08:00:00,29.826
2011-01-22 09:00:00,32.5
2011-01-22 10:00:00,54.776
2011-01-22 11:00:00,58.97
2011-01-22 12:00:00,68.38
2011-01-22 13:00:00,78.238
2011-01-22 14:00:00,74.828
2011-01-22 15:00:00,75.482
2011-01-22 16:00:00,76.448
2011-01-22 17:00:00,79.39
2011-01-22 18:00:00,61.112
2011-01-22 19:00:00,42.804
